"","sens","gamma","z0","zi","L","zcut","deposition"
"247",2,0.92913,0.85827,0.37008,0.45669,0.14961,7.7505124822e-05
"248",2,0.93701,0.88976,0.61417,0.35433,0.37008,8.53889641887904e-05
"249",2,0.94488,0.30709,0.91339,0.87402,0.29134,3.96943463194819e-05
"250",2,0.95276,0.96063,0.6063,0.99213,0.6063,5.99348863573032e-05
"251",2,0.96063,0.1811,0.47244,0.14173,0.43307,6.991846050365e-05
"252",2,0.9685,0.43307,0.62992,0.29134,0.4252,7.14567865859564e-05
"253",2,0.97638,0.27559,0.023622,0.34646,0.48819,5.39475369672738e-05
"254",2,0.98425,0.77953,0.87402,0.3937,0.055118,7.740800376566e-05
"255",2,0.99213,0.83465,0.031496,0.77165,0.33858,6.10467337351321e-05
"256",2,1,0.44882,0.29921,0.51969,0.047244,5.56629663808302e-05
"257",3,0,0.55118,0.44882,0.26772,0.25984,0.000311584708531587
"258",3,0.007874,0.25984,0.22047,0.3622,0.83465,0.000294144166615705
"259",3,0.015748,0.75591,0.26772,0.33071,0.7874,0.000306967550503116
"260",3,0.023622,0.85039,0.8189,0.6063,0.72441,0.00030048634258876
"261",3,0.031496,0.31496,0.71654,0.2126,0.62992,0.000302169553579998
"262",3,0.03937,0.68504,0.67717,0.047244,0.37795,0.000334286964763399
"263",3,0.047244,0.66929,0.11811,0.43307,0.65354,0.000300988821966812
"264",3,0.055118,0.11811,0.83465,0.77953,0.73228,0.000266732130300049
"265",3,0.062992,0.94488,0.72441,0.10236,0.40157,0.000325424964221133
"266",3,0.070866,0.29134,0.13386,0.48819,0.55906,0.000280789625298195
"267",3,0.07874,0.26772,0.07874,0.5748,0.070866,0.000278812533602604
"268",3,0.086614,0.86614,0.062992,0.69291,0.44094,0.000285575773337603
"269",3,0.094488,0.65354,0.94488,0.66929,0.85039,0.000274307866627625
"270",3,0.10236,0.44094,0.99213,0.1811,0.29921,0.000293750348075376
"271",3,0.11024,0.98425,0.50394,0.6378,0.03937,0.000275502687888942
"272",3,0.11811,0.80315,0.46457,0.37008,0.13386,0.000281450647342237
"273",3,0.12598,0.29921,0.89764,0.50394,0.8189,0.000252206203710436
"274",3,0.13386,0.47244,0.40945,0.81102,0.68504,0.000252005078453953
"275",3,0.14173,0.64567,0.10236,0.29921,0.49606,0.000269318737541788
"276",3,0.14961,0.84252,0.48031,0.88976,0.87402,0.000257857103204294
"277",3,0.15748,0.51181,0.44094,0.11024,0.66929,0.0002897526459991
"278",3,0.16535,0.6378,0.64567,0.54331,0.20472,0.000249010584386092
"279",3,0.17323,0.11024,0.51181,0.55906,0.9685,0.000216516744045212
"280",3,0.1811,0.20472,0.35433,1,0.58268,0.000207189489623142
"281",3,0.18898,0.70079,0.79528,0.96063,0.5748,0.000226833962992103
"282",3,0.19685,0.13386,0.66929,0.9685,0.031496,0.000197677067232021
"283",3,0.20472,0.77165,0.85827,0.07874,0.69291,0.000300681828903085
"284",3,0.2126,0.4252,0.51969,0.72441,0.07874,0.000209180157462157
"285",3,0.22047,0.19685,0.23622,0.25197,0.23622,0.000213311000920555
"286",3,0.22835,0.094488,0.12598,0.49606,0.28346,0.000177131597761246
"287",3,0.23622,0.71654,0.98425,0.44094,0.14173,0.000224646762856535
"288",3,0.24409,0.46457,0.49606,0.97638,0.27559,0.000192017782615839
"289",3,0.25197,0.90551,0.82677,0.16535,0.74803,0.000260084560983217
"290",3,0.25984,0.24409,0.85039,0.086614,0.44882,0.000246892953926184
"291",3,0.26772,0.047244,0.5748,0.17323,0.6378,0.000165954333643247
"292",3,0.27559,0.007874,0.7874,0.53543,0.094488,0.000133828136337904
